lexicog.Entry	rdfs.label	lexinfo.note	lexicog.describes	lexicog.subComponent	skos.note
lexicogEntry:n00248	Fonseca’s entry for 'Accenseo'		lexicalEntry:n00248.e01		
lexicogEntry:n00249	Fonseca’s entry for 'Accensus'		lexicalEntry:n00249.e01		
lexicogEntry:n00250	Fonseca’s entry for 'Accensus'		lexicalEntry:n00250.e01		
lexicogEntry:n00251	Fonseca’s entry for 'Accentiuncula'		lexicalEntry:n00251.e01		
lexicogEntry:n00252	Fonseca’s entry for 'Accentus'		lexicalEntry:n00252.e01		
lexicogEntry:n00253	Fonseca’s entry for 'Accepi'		lexicalEntry:n00253.e01		
lexicogEntry:n00254	Fonseca’s entry for 'Acceptilatio'		lexicalEntry:n00254.e01		
lexicogEntry:n00255	Fonseca’s entry for 'Acceptio'		lexicalEntry:n00255.e01		
lexicogEntry:n00256	Fonseca’s entry for 'Acceptito'		lexicalEntry:n00256.e01		&
lexicogEntry:n00257	Fonseca’s entry for 'Accepto'		lexicalEntry:n00257.e01		
lexicogEntry:n00258	Fonseca’s entry for 'Acceptor'		lexicalEntry:n00258.e01		
lexicogEntry:n00259	Fonseca’s entry for 'Acceptrix'		lexicalEntry:n00259.e01		
lexicogEntry:n00260	Fonseca’s entry for 'Acceptum'		lexicalEntry:n00260.e01		
lexicogEntry:n00261	Fonseca’s entry for 'Acceptus'		lexicalEntry:n00261.e01		
lexicogEntry:n00262	Fonseca’s entry for 'Accersitus'		lexicalEntry:n00262.e01		
lexicogEntry:n00263	Fonseca’s entry for 'Accersitus'		lexicalEntry:n00263.e01		
lexicogEntry:n00264	Fonseca’s entry for 'Accerso'		lexicalEntry:n00264.e01		
lexicogEntry:n00265	Fonseca’s entry for 'Accessio'		lexicalEntry:n00265.e01		
lexicogEntry:n00266	Fonseca’s entry for 'Accessito'		lexicalEntry:n00266.e01		
lexicogEntry:n00267	Fonseca’s entry for 'Accessor'		lexicalEntry:n00267.e01		
lexicogEntry:n00268	Fonseca’s entry for 'Accessus'		lexicalEntry:n00268.e01		
lexicogEntry:n00269	Fonseca’s entry for 'Accessus'		lexicalEntry:n00269.e01		
lexicogEntry:n00270	Fonseca’s entry for 'Accidens'		lexicalEntry:n00270.e01		
lexicogEntry:n00271	Fonseca’s entry for 'Accidentia'		lexicalEntry:n00271.e01		
lexicogEntry:n00272	Fonseca’s entry for 'Accidentia'		lexicalEntry:n00272.e01		
lexicogEntry:n00273	Fonseca’s entry for 'Accido'		lexicalEntry:n00273.e01		
lexicogEntry:n00274	Fonseca’s entry for 'Accido'		lexicalEntry:n00274.e01		
lexicogEntry:n00275	Fonseca’s entry for 'Accieo'		lexicalEntry:n00275.e01		
lexicogEntry:n00276	Fonseca’s entry for 'Accinctus'		lexicalEntry:n00276.e01		
lexicogEntry:n00277	Fonseca’s entry for 'Accingo'		lexicalEntry:n00277.e01		
lexicogEntry:n00278	Fonseca’s entry for 'Accio'		lexicalEntry:n00278.e01		
lexicogEntry:n00279	Fonseca’s entry for 'Accipio'		lexicalEntry:n00279.e01		
lexicogEntry:n00280	Fonseca’s entry for 'Accipiter'		lexicalEntry:n00280.e01		
lexicogEntry:n00281	Fonseca’s entry for 'Accipitrina'		lexicalEntry:n00281.e01		
lexicogEntry:n00282	Fonseca’s entry for 'Accipitro'		lexicalEntry:n00282.e01		
lexicogEntry:n00283	Fonseca’s entry for 'Accisus'		lexicalEntry:n00283.e01		
lexicogEntry:n00284	Fonseca’s entry for 'Accito'		lexicalEntry:n00284.e01		
lexicogEntry:n00285	Fonseca’s entry for 'Accitus'		lexicalEntry:n00285.e01		
lexicogEntry:n00286	Fonseca’s entry for 'Accitus'		lexicalEntry:n00286.e01		
lexicogEntry:n00287	Fonseca’s entry for 'Acclamatio'		lexicalEntry:n00287.e01		
lexicogEntry:n00288	Fonseca’s entry for 'Acclamito'		lexicalEntry:n00288.e01		
lexicogEntry:n00289	Fonseca’s entry for 'Acclamo'		lexicalEntry:n00289.e01		
lexicogEntry:n00290	Fonseca’s entry for 'Acclinatus'		lexicalEntry:n00290.e01		
lexicogEntry:n00291	Fonseca’s entry for 'Acclinis'		lexicalEntry:n00291.e01		
lexicogEntry:n00292	Fonseca’s entry for 'Acclino'		lexicalEntry:n00292.e01		
