ontolex.LexicalSense	lexicog.usageExample	lexinfo.note	rdfs.comment	rdfs.label.en	rdfs.label.pt	skos.definition.pt	skos.note
lexicalSense:n00155.sg01.s01		Val. Max.			Brevemente	 Brevemente 	
lexicalSense:n00156.sg01.s01		Ad. Her.			Cortadura	 Cortadura 	
lexicalSense:n00157.sg01.s01		Caes.			Cortado	 Cortado , dividido , separado 	
lexicalSense:n00157.sg01.s99	usageExample:n00157.sg01.s99.u01, usageExample:n00157.sg01.s99.u02, usageExample:n00157.sg01.s99.u03		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)			
lexicalSense:n00158.sg01.s01		Scribon.			Interrupção	 Interrupção 	
lexicalSense:n00159.sg01.s01		Liv.			Cortado	 Cortado , dividido 	
lexicalSense:n00161.sg01.s01		Cic.			Occultamente	 Occultamente 	
lexicalSense:n00163.sg01.s01		Cic.			Esconder	 Esconder , occultar 	
lexicalSense:n00164.sg01.s01		Hyg.			Occultamente	 Occultamente 	
lexicalSense:n00165.sg01.s01		Cic.			Ausente	 Ausente , que não está onde costuma , ou onde se quizera que estivesse 	
lexicalSense:n00165.sg01.s02		Hor.			Onde alguem se não acha. Diz-se do lugar	 Onde alguem se não acha . Diz - se do lugar 	
lexicalSense:n00165.sg01.s99	usageExample:n00165.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)			
lexicalSense:n00166.sg01.s01		Cic.			Ausencia	 Ausencia 	
lexicalSense:n00167.sg01.s01		Petr.			Ausente por muito tempo	 Ausente por muito tempo , que tarda muito a chegar 	
lexicalSense:n00168.sg01.s01		* Petr.			Ausentar	 Ausentar , desterrar , apartar para outro lugar 	
lexicalSense:n00169.sg01.s01		Lucret.			Fugir aos falsos	 Fugir aos falsos 	
lexicalSense:n00170.sg01.s01		Suet.			Muito dissemelhante	 Muito dissemelhante 	
lexicalSense:n00171.sg01.s01		Sen.			Temperado com losna	 Temperado com losna 	
lexicalSense:n00172.sg01.s01		Col.			Vinho com confeição de losna	 Vinho com confeição de losna 	
lexicalSense:n00173.sg01.s01		Lucret.			[Losna ou acintro	 [ Losna ou acintro , herva . ] 	
lexicalSense:n00174.sg01.s01		Varr. apud Non.			Losna ou acintro	 Losna ou acintro , herva 	
