ontolex.LexicalSense	lexicog.usageExample	lexinfo.note	rdfs.comment	rdfs.label.en	rdfs.label.la	rdfs.label.pt	skos.definition.la	skos.definition.pt	skos.note
lexicalSense:n0126.sg01.s02	usageExample:n0126.sg01.s02.u01	Ponitur			pro simplici Spiro		 pro simplici Spiro 		
lexicalSense:n0126.sg01.s99	usageExample:n0126.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0127.sg01.s01						consentir		 consentir 	
lexicalSense:n0127.sg01.s99	usageExample:n0127.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0128.sg01.s01	usageExample:n0128.sg01.s01.u01, usageExample:n0128.sg01.s01.u02					estar em pé junto de outro		 estar em pé junto de outro , como assistindo - lhe 	
lexicalSense:n0129.sg01.s01	usageExample:n0129.sg01.s01.u01, usageExample:n0129.sg01.s01.u02					fazer applauso		 fazer applauso 	
lexicalSense:n0130.sg01.s01	usageExample:n0130.sg01.s01.u01, usageExample:n0130.sg01.s01.u02					atar		 atar , apertar , ou obrigar 	
lexicalSense:n0130.sg01.s99	usageExample:n0130.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0131.sg01.s01	usageExample:n0131.sg01.s01.u01					favorecer		 favorecer 	
lexicalSense:n0131.sg01.s02	usageExample:n0131.sg01.s02.u01, usageExample:n0131.sg01.s02.u02					Estar presente		 Estar presente 	
lexicalSense:n0131.sg01.s03	usageExample:n0131.sg01.s03.u01, usageExample:n0131.sg01.s03.u02				Pro advenire		 Pro advenire 		
lexicalSense:n0131.sg01.s99	usageExample:n0131.sg01.s99.u01, usageExample:n0131.sg01.s99.u02		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0132.sg01.s01						levar para alguma parte		 levar para alguma parte 	
lexicalSense:n0132.sg01.s99	usageExample:n0132.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0133.sg01.s01						o estrangeiro		 o estrangeiro , ou estrangeira 	
lexicalSense:n0134.sg01.s01	usageExample:n0134.sg01.s01.u01					chegar		 chegar , acontecer , ou ir ao encontro 	
lexicalSense:n0135.sg01.s01	usageExample:n0135.sg01.s01.u01					cousa contraria		 cousa contraria 	
lexicalSense:n0135.sg10.s01						humas taboas		 humas taboas , em que se faziaõ apontamentos , ou lembranças , como memoriaes 	
lexicalSense:n0136.sg01.s01	usageExample:n0136.sg01.s01.u01					contrariar		 contrariar , ou contradizer 	
lexicalSense:n0137.sg01.s01						Contra		 Contra , ou defronte 	
lexicalSense:n0137.sg01.s02	usageExample:n0137.sg01.s02.u01	Aliquando			pro Erga		 pro Erga , in meliorem partem 		
lexicalSense:n0137.sg01.s03	usageExample:n0137.sg01.s03.u01	Item			pro Obviam		 pro Obviam 		apud Plaut.
lexicalSense:n0138.sg01.s01	usageExample:n0138.sg01.s01.u01					cousa contraria		 cousa contraria 	
lexicalSense:n0138.sg01.s02	usageExample:n0138.sg01.s02.u01					Cousa fronteira		 Cousa fronteira , ou opposta 	
lexicalSense:n0139.sg01.s01	usageExample:n0139.sg01.s01.u01, usageExample:n0139.sg01.s01.u02, usageExample:n0139.sg01.s01.u03					virar alguma cousa para alguma parte		 virar alguma cousa para alguma parte 	
lexicalSense:n0140.sg01.s01	usageExample:n0140.sg01.s01.u01					lisongear		 lisongear 	
lexicalSense:n0141.sg01.s01						o adultero		 o adultero 	
lexicalSense:n0142.sg01.s01	usageExample:n0142.sg01.s01.u01					voar		 voar , ou andar voando para alguma parte 	
lexicalSense:n0143.sg01.s01						voar para alguma parte		 voar para alguma parte , ou vir depressa 	
lexicalSense:n0143.sg01.s99	usageExample:n0143.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0144.sg01.s01	usageExample:n0144.sg01.s01.u01					trazer como arrojando		 trazer como arrojando , ou lançar alguma cousa para alguma parte 	
lexicalSense:n0145.sg01.s01						o lugar mais secreto do templo		 o lugar mais secreto do templo , no qual só o Sacerdote pode entrar 	
lexicalSense:n0146.sg01.s01						Aquilles		 Aquilles , neto de Eaco , ou Pyrrho , seu bisneto , ou alguns de seus descendentes 	
lexicalSense:n0147.sg01.s01						a casa		 a casa , ou templo 	
lexicalSense:n0147.sg01.s02					Ovidius pro sepulchro posuit		 Ovidius pro sepulchro posuit 		
lexicalSense:n0148.sg01.s01						o almotacel		 o almotacel 	
lexicalSense:n0149.sg01.s01						o Roixinol		 o Roixinol 	quae aliis nominibus & Philomela, & Luscinia dicitur, & Acredula apud Cic.
lexicalSense:n0150.sg01.s01						Absyrto		 Absyrto , filho de Eetes , Rey de Cholchos 	
lexicalSense:n0151.sg01.s01						Medea filha de Eetes		 Medea filha de Eetes 	
lexicalSense:n0152.sg01.s01						o maior dos Gigantes		 o maior dos Gigantes , por outro nome Briareo , mui cruel ; e tinha cem braços , como fingem os Poetas 	
lexicalSense:n0153.sg01.s01						avea		 avea , ou palanco herva , ou especie de carvalho 	
lexicalSense:n0154.sg01.s01						filha de Asopo		 filha de Asopo , Rey de Beocia , e mãy de Eaco 	à quâ insula Peleponeso adiacens contra Atticam nomen accepit, cùm anteà Oenone, vel Oenopia diceretur.
lexicalSense:n0154.sg01.s99	usageExample:n0154.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0155.sg01.s01						o Capricornio		 o Capricornio , signo celeste 	
lexicalSense:n0156.sg01.s01						Egypto		 Egypto , regiaõ proxima a Africa 	
lexicalSense:n0156.sg01.s02						Fuit etiam Aegyptus		 Fuit etiam Aegyptus , seu Aegysthus , Beli Prisci filius , & frater Danai 	
lexicalSense:n0156.sg01.s99	usageExample:n0156.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0157.sg01.s01	usageExample:n0157.sg01.s01.u01					cousa competidora		 cousa competidora , ou invejosa 	
lexicalSense:n0158.sg01.s01						hum varaõ Troiano		 hum varaõ Troiano 	
lexicalSense:n0159.sg01.s01						o Troiano descendente		 o Troiano descendente , ou companheiro de Eneas 	
lexicalSense:n0160.sg01.s01						Eneida		 Eneida , livro , que trata de façanhas de Eneas 	
lexicalSense:n0161.sg01.s01						Sisypho		 Sisypho , filho de Eolo , ou Ulysses seu neto 	
lexicalSense:n0161.sg01.s02		Aeolides			etiam dicitur Misenus Aeneae tubicen		 etiam dicitur Misenus Aeneae tubicen 		apud Virg. Aen. 6.
lexicalSense:n0162.sg01.s01						Alcione		 Alcione , filho de Eolo , que fingem os Poetas Rey dos ventos 	
lexicalSense:n0162.sg01.s02		Est etiam Aeolis			regio in minore Asia		 regio in minore Asia , antea Mysia dicebatur 		
lexicalSense:n0163.sg01.s01						huma Cidade de Grecia		 huma Cidade de Grecia 	
lexicalSense:n0164.sg01.s01	usageExample:n0164.sg01.s01.u01, usageExample:n0164.sg01.s01.u02					cousa igual		 cousa igual , ou que tem a mesma idade 	
lexicalSense:n0165.sg01.s01						lançar á boa parte		 lançar á boa parte 	
lexicalSense:n0166.sg01.s01	usageExample:n0166.sg01.s01.u01					cousa de igual peso		 cousa de igual peso , ou da mesma igualdade 	
lexicalSense:n0167.sg01.s01	usageExample:n0167.sg01.s01.u01					igualar		 igualar , ou acompanhar 	
lexicalSense:n0168.sg01.s01	usageExample:n0168.sg01.s01.u01, usageExample:n0168.sg01.s01.u02, usageExample:n0168.sg01.s01.u03, usageExample:n0168.sg01.s01.u04					igualar		 igualar , ou acompanhar 	Ponitur etiam cum praepositione Cum, | Interdum absolutè
lexicalSense:n0169.sg01.s01						o campo plano		 o campo plano , ou mar 	
lexicalSense:n0169.sg01.s02	usageExample:n0169.sg01.s02.u01	Quandoque ponitur			pro aere		 pro aere 		
lexicalSense:n0170.sg01.s01						cousa igual		 cousa igual , justa , ou inteira 	
lexicalSense:n0170.sg01.s02	usageExample:n0170.sg01.s02.u01	Ponitur aliquando			pro Favente		 pro Favente , vel Suffragante 		
lexicalSense:n0170.sg01.s99	usageExample:n0170.sg01.s99.u01, usageExample:n0170.sg01.s99.u02		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0171.sg01.s01						o ar		 o ar 	
lexicalSense:n0171.sg01.s99	usageExample:n0171.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0172.sg01.s01						o metal		 o metal , cobre , dinheiro 	
lexicalSense:n0172.sg01.s02	usageExample:n0172.sg01.s02.u01	Ponitur etiam			pro Tubis		 pro Tubis 		quoniam ex aere fiunt
lexicalSense:n0172.sg01.s99	usageExample:n0172.sg01.s99.u01, usageExample:n0172.sg01.s99.u02, usageExample:n0172.sg01.s99.u03, usageExample:n0172.sg01.s99.u04, usageExample:n0172.sg01.s99.u05		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0173.sg01.s01						Iason		 Iason , filho de Eson , Principe Grego 	
lexicalSense:n0174.sg01.s01						estimar		 estimar , avaliar , taxar , ou considerar 	
lexicalSense:n0174.sg01.s99	usageExample:n0174.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0175.sg01.s01						lugares sombrios		 lugares sombrios , e frescos , onde se passa a calma 	
lexicalSense:n0175.sg01.s02		Ponuntur aliquando Aestiva			pro gregibus ibi commorantibus		 pro gregibus ibi commorantibus 		
lexicalSense:n0176.sg01.s01						cousa eterna		 cousa eterna , ou perpetua 	
lexicalSense:n0176.sg10.s01					quasi semper aeternus		 quasi semper aeternus 		
lexicalSense:n0176.sg20.s01						sempre		 sempre , ou eternamente 	
lexicalSense:n0177.sg01.s01						o Ceo		 o Ceo , ar , ou esfera do fogo , e tudo , o que está sobre elle 	
lexicalSense:n0178.sg01.s01						hum filho de Vulcano		 hum filho de Vulcano 	qui Aethiopiam à se denominavit.
lexicalSense:n0178.sg01.s99	usageExample:n0178.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0178.sg10.s01		quoque dicuntur			qui Aethiopiam incolunt		 qui Aethiopiam incolunt 		& mulieres Aethiopissae
lexicalSense:n0179.sg01.s01						abundantemente		 abundantemente 	
lexicalSense:n0179.sg01.s99	usageExample:n0179.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0180.sg01.s01						o movimento		 o movimento , ou affecto 	
lexicalSense:n0180.sg01.s02					Extenditur etiam Affectio ad mala corporis		 Extenditur etiam Affectio ad mala corporis , qualia sunt morbus , debilitas , & c 		
lexicalSense:n0180.sg01.s99	usageExample:n0180.sg01.s99.u01, usageExample:n0180.sg01.s99.u02		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0181.sg01.s01						trazer		 trazer , allegar , contar , ou trazer novas 	
lexicalSense:n0181.sg01.s99	usageExample:n0181.sg01.s99.u01, usageExample:n0181.sg01.s99.u02		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0182.sg01.s01						affeiçoar		 affeiçoar , mover , ou dispor 	
lexicalSense:n0182.sg01.s99	usageExample:n0182.sg01.s99.u01, usageExample:n0182.sg01.s99.u02, usageExample:n0182.sg01.s99.u03, usageExample:n0182.sg01.s99.u04		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n0182.sg10.s01					quasi animor	estar disposto	 quasi animor , i , istius animi sum 	 estar disposto , ou movido 	
lexicalSense:n0182.sg20.s01		i			vexatus		 vexatus , afflictus , animatus , commotus , dispositus 		
lexicalSense:n0183.sg01.s01	usageExample:n0183.sg01.s01.u01, usageExample:n0183.sg01.s01.u02					pregar huma cousa a outra		 pregar huma cousa a outra 	
lexicalSense:n0184.sg01.s01	usageExample:n0184.sg01.s01.u01					accommodar fingindo		 accommodar fingindo , ou accrescentar 	
lexicalSense:n0185.sg01.s01						O parente		 O parente , ou parenta por via de casamento 	
lexicalSense:n0186.sg01.s01	usageExample:n0186.sg01.s01.u01					cousa comarcãa		 cousa comarcãa , visinha , ou participante 	
lexicalSense:n0187.sg01.s01						lançar por terra		 lançar por terra , metter debaixo dos pes , postrar , atormentar , ou affligir 	
lexicalSense:n0187.sg01.s99	usageExample:n0187.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
