lexicog.LexicographicComponent	rdfs.label	lexinfo.note	lexicog.describes	skos.note
lexicogComponent:n1110.e10_comp	Velez’s subentry for 'Domuitio'		lexicalEntry:n1110.e10	
lexicogComponent:n1113.e10_comp	Velez’s subentry for 'Dorotheus'		lexicalEntry:n1113.e10	
lexicogComponent:n1122.e10_comp	Velez’s subentry for 'Dulcè'	hinc,	lexicalEntry:n1122.e10	
lexicogComponent:n1127.e02_comp	Velez’s subentry for 'Durities'		lexicalEntry:n1127.e02	
lexicogComponent:n1127.e03_comp	Velez’s subentry for 'Duritas'		lexicalEntry:n1127.e03	
lexicogComponent:n1128.e02_comp	Velez’s subentry for 'Duria'	vel	lexicalEntry:n1128.e02	
lexicogComponent:n1128.e10_comp	Velez’s subentry for 'Durius'	Est etiam	lexicalEntry:n1128.e10	
lexicogComponent:n1130.e10_comp	Velez’s subentry for '[E]'		lexicalEntry:n1130.e10	
lexicogComponent:n1134.e10_comp	Velez’s subentry for 'Eburatus'	hinc	lexicalEntry:n1134.e10	
lexicogComponent:n1137.e10_comp	Velez’s subentry for '[Echinus]'		lexicalEntry:n1137.e10	
lexicogComponent:n1138.e10_comp	Velez’s subentry for '[Echo]'		lexicalEntry:n1138.e10	
lexicogComponent:n1139.e02_comp	Velez’s subentry for 'Ecquisnam'	et	lexicalEntry:n1139.e02	
lexicogComponent:n1143.e10_comp	Velez’s subentry for 'Editus'	unde,	lexicalEntry:n1143.e10	
lexicogComponent:n1143.e20_comp	Velez’s subentry for 'Editus'	at	lexicalEntry:n1143.e20	
lexicogComponent:n1146.e10_comp	Velez’s subentry for 'Elatus'	hinc	lexicalEntry:n1146.e10	
lexicogComponent:n1160.e02_comp	Velez’s subentry for 'Elephantus'		lexicalEntry:n1160.e02	
lexicogComponent:n1165.e02_comp	Velez’s subentry for 'Elisabetha'		lexicalEntry:n1165.e02	
lexicogComponent:n1173.e10_comp	Velez’s subentry for 'Emissarius'	Hinc	lexicalEntry:n1173.e10	
lexicogComponent:n1173.e20_comp	Velez’s subentry for 'Emissarium'	at	lexicalEntry:n1173.e20	
lexicogComponent:n1181.e10_comp	Velez’s subentry for 'Enixè'	hinc	lexicalEntry:n1181.e10	
lexicogComponent:n1188.e10_comp	Velez’s subentry for 'Epicus'	unde	lexicalEntry:n1188.e10	
lexicogComponent:n1189.e10_comp	Velez’s subentry for 'Epulum'		lexicalEntry:n1189.e10	
lexicogComponent:n1194.e10_comp	Velez’s subentry for 'Equiferus'	ex quo componitur	lexicalEntry:n1194.e10	
lexicogComponent:n1194.e20_comp	Velez’s subentry for 'Equilo'		lexicalEntry:n1194.e20	
lexicogComponent:n1194.e30_comp	Velez’s subentry for 'Equuleus'		lexicalEntry:n1194.e30	
lexicogComponent:n1198.e02_comp	Velez’s subentry for '[Ergo]'		lexicalEntry:n1198.e02	
lexicogComponent:n1200.e10_comp	Velez’s subentry for 'Ereptus'		lexicalEntry:n1200.e10	
lexicogComponent:n1202.e02_comp	Velez’s subentry for 'Erotion'		lexicalEntry:n1202.e02	
lexicogComponent:n1206.e02_comp	Velez’s subentry for 'Ervilium'		lexicalEntry:n1206.e02	
lexicogComponent:n1212.e02_comp	Velez’s subentry for 'Essedum'		lexicalEntry:n1212.e02	
lexicogComponent:n1212.e10_comp	Velez’s subentry for 'Essedarij'		lexicalEntry:n1212.e10	
lexicogComponent:n1213.e10_comp	Velez’s subentry for 'esurio'	Est	lexicalEntry:n1213.e10	
lexicogComponent:n1214.e02_comp	Velez’s subentry for '[Et]'		lexicalEntry:n1214.e02	
